Gun,Chip,Bib,City,State,Age,Gender
5424,5407,6283,Austin,TX,45,M
5422,5416,972,Austin,TX,27,M
5426,5416,7531,San Antonio,TX,40,M
5438,5421,2533,Austin,TX,34,M
5486,5422,943,Austin,TX,32,F
5442,5428,692,Austin,TX,34,M
5670,5429,5670,Bossier City,LA,42,M
5435,5430,3089,Austin,TX,33,F
5456,5434,4705,Austin,TX,32,M
5449,5439,6846,Austin,TX,37,F
5611,5440,5695,Austin,TX,50,M
5443,5440,2774,Hutto,TX,42,M
5455,5441,4716,Red Bank,NJ,30,M
5457,5441,7312,Austin,TX,54,M
5470,5442,1605,Austin,TX,56,M
5474,5442,919,Manor,TX,40,M
5453,5446,6191,Boulder,CO,47,M
5459,5448,5573,Katy,TX,38,M
5456,5451,1787,Austin,TX,34,M
5538,5452,7716,San Francisco,CA,50,M
5485,5455,2933,Austin,TX,16,M
5485,5455,2934,Austin,TX,40,M
5473,5457,1887,Buda,TX,49,M
5479,5460,3812,Austin,TX,37,M
5498,5466,4391,Austin,TX,37,M
5770,5466,270,Austin,TX,44,M
5510,5469,235,Westlake,OH,30,F
5487,5475,6480,Cincinnati,OH,31,M
5489,5478,7708,Austin,TX,33,M
5490,5478,3063,Austin,TX,42,M
5511,5478,5506,Cedar Park,TX,15,F
5502,5479,5361,Austin,TX,28,M
5537,5483,7617,Austin,TX,42,M
5577,5484,3465,Austin,TX,30,M
5768,5485,6391,Houston,TX,23,F
5489,5485,4994,Leander,TX,15,F
5501,5492,6634,Dallas,TX,39,M
5781,5495,6511,Austin,TX,36,M
5503,5495,2199,Austin,TX,41,F
5530,5495,6317,Austin,TX,34,M
5507,5504,2989,Cedar Park,TX,32,M
5525,5508,2341,San Antonio,TX,30,F
6019,5510,1791,Austin,TX,39,M
5567,5512,6710,Williamsport,IN,22,F
5566,5515,6773,Austin,TX,47,M
5524,5516,2918,Austin,TX,27,M
5551,5517,7379,Cedar Park,TX,43,M
5527,5518,4678,Lantana,TX,62,M
5543,5520,1041,Round Rock,TX,20,M
5567,5520,3771,Austin,TX,56,M
5552,5521,6807,Austin,TX,39,M
5535,5524,4647,Austin,TX,35,M
5543,5525,7170,Austin,TX,31,M
5548,5526,7265,Jacksonville,FL,25,F
5543,5528,7237,Austin,TX,31,M
5535,5529,7730,Thornton,CO,40,M
5544,5532,1177,Austin,TX,42,M
5547,5533,6102,Austin,TX,17,M
5540,5533,4343,Austin,TX,32,F
5648,5534,6682,Austin,TX,18,M
5696,5537,6142,Austin,TX,28,M
5585,5537,3579,Austin,TX,55,M
5922,5539,4275,Austin,TX,33,M
5546,5540,642,Austin,TX,42,M
5545,5541,4498,Washington,DC,53,F
5569,5550,7225,Austin,TX,29,F
5569,5551,4230,Austin,TX,38,F
5596,5552,4300,Austin,TX,43,M
5559,5552,4364,Austin,TX,49,M
5579,5554,1536,Austin,TX,34,F
5563,5555,6821,Austin,TX,22,M
5568,5555,6428,Austin,TX,49,M
5606,5555,5817,Lubbock,TX,43,F
5562,5556,4096,Round Rock,TX,39,M
5563,5557,6375,Austin,TX,23,M
5579,5558,2184,Plymouth,MI,52,M
5567,5559,4951,Austin,TX,39,F
5590,5559,1744,Austin,TX,49,M
5566,5560,4293,Austin,TX,43,F
5575,5561,2384,The Colony,TX,39,F
5942,5569,6599,Austin,TX,27,M
5586,5571,6861,Round Rock,TX,47,M
5933,5571,560,Austin,TX,32,M
5574,5572,7139,Grand Prairie,TX,46,M
5588,5574,4268,Austin,TX,48,M
5588,5577,5708,Austin,TX,34,M
5683,5578,6530,El Paso,TX,26,M
5596,5579,1398,Austin,TX,35,F
5638,5579,3649,Austin,TX,25,F
5590,5580,7452,Leander,TX,34,F
5596,5581,484,Austin,TX,45,M
5597,5581,5910,San Antonio,TX,37,F
5587,5582,7216,Stillwater,MN,44,M
5599,5582,5493,Flower Mound,TX,43,M
